mssg_size, time, time_rle,time_rot13,time_rle2,
643, 0.05, 0.128,0,0.001,
644, 0.049, 0.111,0.001,0,
645, 0.052, 0.135,0.001,0.001,
646, 0.047, 0.117,0.001,0.001,
647, 0.042, 0.118,0.001,0.001,
648, 0.053, 0.114,0.003,0.001,
649, 0.052, 0.114,0,0.001,
650, 0.048, 0.11,0,0.001,
651, 0.046, 0.144,0.001,0.003,
652, 0.051, 0.117,0.001,0,
653, 0.047, 0.113,0.001,0,
654, 0.04, 0.125,0.001,0,
655, 0.056, 0.113,0.001,0,
656, 0.05, 0.113,0.001,0.001,
657, 0.047, 0.143,0.002,0,
658, 0.062, 0.134,0.001,0,
659, 0.052, 0.14,0.001,0.001,
660, 0.059, 0.114,0.001,0,
661, 0.047, 0.114,0.001,0,
662, 0.052, 0.13,0,0.002,
663, 0.047, 0.135,0.001,0,
664, 0.045, 0.117,0.001,0,
665, 0.043, 0.117,0.001,0.001,
666, 0.048, 0.115,0,0.001,
667, 0.049, 0.116,0.003,0.001,
668, 0.045, 0.114,0.001,0,
669, 0.053, 0.144,0.001,0,
670, 0.049, 0.133,0.001,0.004,
671, 0.041, 0.116,0.001,0,
672, 0.043, 0.124,0.001,0.001,
673, 0.057, 0.117,0.001,0.001,
674, 0.04, 0.132,0.001,0.001,
675, 0.044, 0.157,0,0.001,
676, 0.042, 0.141,0.001,0.001,
677, 0.042, 0.154,0.001,0,
678, 0.053, 0.117,0.001,0.001,
679, 0.047, 0.125,0.001,0.001,
680, 0.059, 0.123,0.001,0.001,
681, 0.046, 0.134,0.001,0.001,
682, 0.035, 0.115,0,0.001,
683, 0.039, 0.113,0.001,0,
684, 0.033, 0.119,0.001,0.001,
685, 0.044, 0.118,0.001,0.001,
686, 0.051, 0.12,0.001,0,
687, 0.049, 0.161,0,0.001,
688, 0.043, 0.12,0.001,0.001,
689, 0.048, 0.12,0.001,0.001,
690, 0.048, 0.12,0.001,0.001,
691, 0.043, 0.12,0.001,0,
692, 0.04, 0.134,0.001,0,
693, 0.053, 0.151,0.001,0,
694, 0.043, 0.12,0.001,0.004,
695, 0.045, 0.123,0.001,0.001,
696, 0.097, 0.119,0.001,0,
697, 0.06, 0.123,0.001,0.001,
698, 0.038, 0.12,0.001,0.001,
699, 0.053, 0.14,0.001,0.001,
700, 0.05, 0.121,0.001,0,
701, 0.042, 0.122,0.001,0.001,
